0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
feln_,filon,folna,_flin,flàn,volon,flànn,flan,flen,flun,flin,felan,volan,feln,v'lan,falen,flenn,valen,fülan,foln,velan,felna,flin_,,,,,,,,,,,,,,,,,
lshi,lesho,lshe,lish,lash,lshei,lish_,hlshe,lashü,hlsh,lesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ühpfl,_abfl,epfla,ubfli,äpfel,ipfl,äpfl,öpfle,epfl,opfl,epfle,äbfel,opflo,öpf’l,apfel,äpfle,epflä,àpfl,öpfl_,àpfle,ipfle,abfal,abfl,ubfl,epfel,öepfl,epflu,abfla,öbfel,öpfel,opfel,öpfl,ipfel,,,,,,,
ndsli,ntzle,nzle,ndslo,ndsl,nützl,nzla,nzele,nzli,nziel,nzla_,nzelo,nzli_,nzleh,nutzl,nzler,ntzel,ndsle,ndsel,nzela,nzle_,ntzl,nzel,nzel_,nzelü,,,,,,,,,,,,,,,
lfle,lfeil,laval,läfel,lfel_,loflo,hlofl,läfl,lewyl,lfli,löfle,lflei,lofel,lewal,löfl,läfle,läwel,lfell,lewil,lewel,laffl,hlöfl,lafel,lefal,hläfl,lofl,lfli_,lfel,lflo,lfler,,,,,,,,,,
neser,nser,nser_,nseri,nsier,nsre_,nussr,ns‘r,nserä,nsri,nsrer,ns'r,nsüch,ns're,nsar,nisir,niser,nsuch,nsere,nsri_,ns‘ri,nsoir,ns’re,nzra,nsre,nsera,ns’r,,,,,,,,,,,,,
ausfr,isfer,ißv’r,üssfr,üsfri,usfr,_üsfr,usfra,üsfro,asefr,uusfr,üsfr,ißver,üßfri,esfr,üsfra,esver,oßfür,esfri,üßfr,ußfer,,,,,,,,,,,,,,,,,,,
ufdri,uftra,uftr,efträ,aftri,äuftr,uftre,aftr,äfter,ofdär,ufdre,_ufdr,ifter,uft'r,owedr,uffdr,ieftr,öfter,after,auftr,ufftr,oftor,ofter,aufdr,_uftr,uftru,ufdr,uftri,eftr,,,,,,,,,,,
oldv,ildwa,oldve,altwa,ildv,ildw,aldve,altwy,eltiw,altw,ildve,eldwe,aldv,_altw,eldwä,eldyw,eldw,,,,,,,,,,,,,,,,,,,,,,,
ànft,uenft,ünft,onft_,ünfd,enfed,unft_,ünft’,ünfdö,anfte,inft,infäd,ünfdi,änft,anft,onfit,invet,infti,ünfti,anft_,invit,ànft_,üenft,enft,enfti,unft,onft,ünfta,enft_,änft_,,,,,,,,,,
