mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,LTS,lätze; letz; lätzi; leids; lutz; lutze; lätz; lez; latze; leijt's; leijts; letzi; letze; lätzer,latz; läids; letzer; luejt-s
Craig,FLYL,flejel; fleijel; fluejel,flegel; flüejel
Craig,SLVR,selwer; sälwer; sælwer; silwre,salwer; silwer; sàlwer; salwr
Craig,TKL,täglich; deckle; deckel,tàglig; dackel; tàgle; taglich; taglig
Craig,HSK,hiesig; hiesigen,hiasige; hiesige
Craig,MK,mickey; mogge; mögen; mucke; muck; maggi; maggaye,mag; mage; mk; mock; mücke; macke; möge; maga; make
Craig,PXLS,b'schlosse; b'schließe; b’schließe; bschließe,b’schliess; bschliese; bschliess; bschlosse; bschliesse; bschlossa
Craig,TRYT,drehjt; tragédie,trawante; drähjt
Craig,AFRS,uffrisse; oonfrasse; üewers; avoueras; uewers; uewerüss; uffresse,affaires; ièvres; iwers
Craig,TKTR,dokter; dokt'r; doktere; diktiere; docteur; doktor,doktr; decidiere; docter; decidier
Craig,FRLXT,verlicht; verlycht; vrlicht; feierlichste,verlust; vrluscht
Craig,AVL,uewel; iwwel; üwel; ewyl; übel; iewel; üebel; ayewohl; evel; uewell; üewwel; üwler; üwwel,iwel; iwler; üewel
Craig,TTX,ditsch; dätsch; deutschen; tätsch; dhäddsch; dytsch; deutsch; ditsche; deutscher; dytsche; ditscher; ditschi; dhätsch; thätsch; daatsch; deitsche; dhætsch; dotsch; dytschi,thàtsch; datsch; tat’sch; dättsch; dütsch; deutsche
Craig,KFN,gewahn; gewunne; gewinne; g'finn; kaufen; g'fehn; geweene; gewehn; gewöhne,gewann; gewänn; gewinn; gfan
Craig,TV,deby; debie; dabei; dauwe; däuwe; däuwer; dabey; daöwi; dev; dobe; doby; döüber; döüwer; dv; tauben; tauwe; toben,dowe; täber; towa; diebe; däuwi; dauwer
Craig,PMP,bumbié; bombe; bomben; bumb; pompier,pimpe; pimpé; bumbe; pimp
Craig,NRRT,narrächt; nochredde,narràchtig; nochrede
Craig,STX,sitsch; syedich,sottsch; setsch
Craig,TRTL,dachtle; duchentle; tärtele; troddel; troddle; trudle; trüdler,drüdle; trüdle
Craig,KLY,gelöuje; gelöüje; galje; kläuje; collège; geläije; geleje; gelöije; kläueje; kleje; kollege,klage; g'lege; geläje; gloge; gelaje; college; g'loge; gläje; klàwe; gelöje
Craig,XLM,schlimmer; schlimmen; schallmayen,schelm; schelme; schlim; schlummer; schlimm
Craig,HHHHH,hahahahaha; hähähähähä,höhöhöhöhö; hihihihihi
Craig,KTRF,getroffen; getriwe; gedroffe,getroffa; getroffe; getriewe
Craig,HNKT,hängt; henkt; hankt,hangt; hànkt; hàngt; hänkt
Craig,KVLTT,gebildet; gebildeten; gewalttätig; qualität,gebildete; qualitäte
Craig,HSY,hüessjé; hiesjer; hüssje,hiasige; hiesige
Craig,HSFR,hüsfrau; hüssfrau; huusfrau,hüsfraü; hausfrau
