mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,FKP,f g e b; f g a b; f g i b; f k a b; f k ä b,f g o p; f k a p; f g e p
Craig,HLT,h ä l t; h o l t; h e l t; h a l d; h u l t; h i l t; h y l t; h o l d; h ü l d,h a l t; h u l d; h e l d; h i l d; h à l t
Craig,YK,_ j a c; j g i e; - j u c; j e g e; _ j e g; _ j a q; j g e e; j o c k; j ü g e; j e g '; _ j ä c; _ j c k; _ j e c; - j u k; h j k u; j - k a; j a a c; j a c k; j a e q; j c k _; j e c a; j e c k; j e g _; j i g _; j u e k; j u k _,_ j u g; j u g e; _ j a g; _ j a k; j a k o; j a g e; j ü g i; _ j o c; j ä g e; _ j à g; j à g e; _ j ü g; _ j u c; _ j ä g; _ j o k; ' j ü g; j a u c; j e g i; j g e i; j o k e; _ j ü c; h j i c; j u c k
Craig,TKF,t g ’ f; t g a w; t g e w; t k ä f; t ü k v,t g ' f; t g e f
Craig,ARFR,e r f r,a r f r
Craig,HKS,_ h e x; h e x _; h e x e,h a g s; h ä x e; _ h ä x; h i g s; h o i x; _ h a x; h a x e; h e g s
Craig,KV,_ g e w; g e w i; c h w e; _ q u e; g e w ö; g e w a; g e b e; g e w o; g e b i; g e w e; g e w u; c h w a; c h w o; _ q u i; q u i _; q u e _; _ q u '; c h w y; g e b ö; q u o i; q u é _; k w ü e; g e w ü; g e b u; k ö b e; _ q u o; q u ' e; g e b o; q u ' i; q u e r; k a v a; c k w ü; g w e r; g e b a; k e b a; c h w ä; k w u e; _ k a v; _ c a v; c a v a; g ä b e; g i v a; g o u v; g ü w a; k a b i; g v e r; _ q u ’; c h w ü; g e b ä; g e b ü; _ g a w; _ k u v; c h w æ; g u b i; g w ä h; g w i e; k e i w; k u e w; k u v e; q u ’ i; q u ’ u; q u e -; q u e e; g a b e; _ g ü w; c a b i; k ä i w; k ü b e; _ c o w; _ g ’ v; _ g i w; _ g ü v; _ k a w; _ k i w; - k a v; - q u e; ' g e w; c e v e; c k w ä; c k w e; c o w _; g ’ v e; g ä w _; g ä w i; g a w w; g e b æ; g e b y; g e h w; g e v i; g e w œ; g g w e; g i b u; g i w _; g ü v a; g w e _; h g ä w; h g e w; k a b a; k a b y; k a w e; k e b ä; k e b ü; k e v o; k e y v; k i w w; k v i e; k w ä j; q u ' a; q u ' ç; q u ' o; q u ’ y; q u e n; g e w ä; c h w u; k a i w; g i e w,_ g ' w; g ' w i; c h w à; _ g w i; g ' w a; g ' w ö; c h w i; c h w ö; g ' w u; g ' w o; _ q u ä; _ g w a; _ q u a; k o b i; g ' w e; _ g w o; _ g ’ w; c k w a; _ g w e; k e b u; k w o h; _ c i v; c i v i; q u i e; g w e h; _ c u v; _ g w u; c u v e; g ’ w e; g ’ w i; g ä w e; k w a g; g w o h; _ g ä w; g w ö h; _ g à w; g à w i; _ g w ä; - k w e; - k w i; - k w o; c a b a; c e w à; c h w _; g ' w ä; g ’ w a; g ä h w; g a w a; g h o w; g ü w e; g w a h; g w e n; h k e w; k à i w; k e b e; k e w à; k w e n; k w i -; k w i e; q u ’ e; c k w u; g w e i; _ g w ö; c k w i; k ü e w; g a w e; c o u v
Craig,KLV,k a l w; k ä l w; k l o w; c l o w; g e l v; g e l w; g l a w; g l o w; k o l w,k l a v; k l ü w; c l a v; k a l v; k i l w; k l à w; g l ü w
Craig,SLM,s ä l m; s l i m,s e l m; s a l m; s à l m
Craig,AMPT,y m p t; u m b t,u m p t; o m p t
Craig,PH,b e h e; b e h ü; b e h i; p e h a; p e h ü; b e h a,b e h o; b e h à
Craig,TNR,d n e r; t e n r,t n e r; d i n r
Craig,ARPS,e r b s; æ r b s; o r p s; ü r b s,i r b s; a r b s
Craig,RLS,r l e s; r l e z; r l o ß; r l ä s; r l u s; r e l s; r a l s; r l i s,r l o s; r l a s; r l ö s; r i l s
Craig,SSTS,s e s z,s z ' z
