0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
ringe,rang,ranke,rank,rinke,rink,ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambe,ambo,umpie,umpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiert,tocht,dert,tert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stimm,chtme,stim,chtm,schtm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schwö,chwö,schwi,chwi,'schw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geisc,kasc,g'sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adame,it-em,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ling,lange,läng,link,lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lind,linde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allew,alwer,alwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capi,chbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rste,risti,rist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lacht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mans,mnis,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vatte,vate,vatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sbur,spri,spar,spir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dieb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ndere,ndre,natir,ntier,nder,nter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ncle,ngli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krit,grad,chrit,giert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iesc,üesc,eisc,üsika,äisc,üsg',üsik,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nimi,niem,nimm,name,nimmi,nieme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stat,statt,chtet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saue,ssig,sieh,çois,seig,ssier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gege,ckück,kück,kückü,chic,cküc,chick,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itna,edun,itain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licht,last,lecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thig,htig,deck,tüec,teck,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iers,ohrs,erso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illic,elek,elig,ellic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsait,g'st,g'ste,g'sto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nscht,nsta,nste,nster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hinte,hande,hand,hint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erwe,arwe,ervo,orwe,erwi,erwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fink,fang,finge,fange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chaff,chef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doch,drei,toch,dure,trag,thür,trei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tante,tant,tund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mit-,matte,matt,meint,mit-e,müet,mitt,mode,hmut,,,,,,,,,,,,,,,,,,,,,,,,,,
terw,dervo,derv,torw,torwe,derw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbes,possi,besse,posi,b'su,pass,bess,poss,,,,,,,,,,,,,,,,,,,,,,,,,,,
erika,orge,erken,erga,orig,erka,erke,erge,,,,,,,,,,,,,,,,,,,,,,,,,,,
wiwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haw-,haw-i,hewe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rage,roge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latz,lets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liger,lage,lige,hlage,lege,lawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antw,antwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heite,hinte,hüet,hätt,hitt,hint,hatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avier,iwer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broc,burg,brüc,proc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ücküc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ohler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
üchs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuns,ganz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hlof,lavie,lewe,lavi,lewi,liew,liwe,liewe,llew,hlofe,llewi,lofe,,,,,,,,,,,,,,,,,,,,,,,
eher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
