"data","Freq"
"e l l i",191
"g ' h a",191
"m e i s",191
"j u m p",190
"ü s s _",190
"_ d a _",189
"p f e r",189
"_ g ' f",188
"d a m e",188
"s à h _",188
"u e t _",188
"_ j u m",187
"_ s e l",187
"n a n d",187
"_ m i e",186
"a ü b _",186
"i e l l",186
"s p i e",185
"_ a n g",184
"r ü c h",184
"f f e _",183
"h e t _",183
"b r i n",182
"e h r _",182
"h a s c",182
"s c h m",182
"_ l e h",181
"b r ü c",181
"i w e _",181
"t z e _",181
"m i g _",180
"m m i g",180
"d i n g",179
"g r o s",179
"_ m o n",178
"_ z ’ _",178
"c h l a",178
"d a n k",178
"g e r n",178
"i e s s",178
"_ h i n",177
"c h a _",177
"c h t i",177
"w o r t",177
"_ m o r",176
"e i g e",176
"o h l _",176
"w o h l",176
"_ s e i",175
"' h a _",175
"e n t _",175
"l l t _",175
"m p f e",175
"r d e _",175
"e n d _",174
"h s c h",174
"r a c h",174
"_ g e n",173
"a m m e",173
"h e s c",173
"i g e r",173
"m ' r _",173
"_ g ' m",172
"_ h e s",172
"_ m ' r",172
"c h w i",172
"f r e i",172
"l i e b",172
"p i e l",172
"h u n _",171
"v e r g",171
"l t e r",170
"_ m i m",169
"_ u f f",169
"e t t e",169
"s a c h",169
"_ a u _",168
"_ e w e",168
"_ f ü e",168
"a n e _",168
"e t z t",168
"f a h r",168
"i t e r",168
"m i m _",168
"w e i _",168
"_ m a d",167
"e n s _",167
"r a n k",167
"_ p a r",166
"r r e _",166
"s i e h",166
"ü s e _",166
"_ w i d",165
"e c h e",165
"u f f _",165
"_ l i t",164
"c h i e",164
"e h r e",164
"e i d _",164
"k e l _",164
"e l d _",163
"h a f t",163
"h ü e t",163
"i e n s",163
"i s t e",163
"_ g ’ s",162
"f i n d",162
"s ü e c",162
"t e t _",162
"_ g s c",161
"_ u n t",161
"_ a n e",160
"_ b e k",160
"_ g e w",160
"_ i n s",160
"_ t r i",160
"' s à i",160
"d a s s",160
"o g e _",160
"_ ä u _",159
"_ m a i",159
"a r t _",158
"g e l d",158
"_ j o h",157
"_ s a l",157
"_ s t r",157
"a n k e",157
"e m e _",157
"f ü e r",157
"g e h n",157
"h l t _",157
"i t e _",157
"s e l _",157
"_ f r o",156
"_ s a c",156
"a n g s",156
"e i n s",156
"e i s t",156
"j o h r",156
"o p f _",156
"_ e i m",155
"_ u n d",155
"i l l e",155
"o s s _",155
"e s t e",154
"n k t _",154
"r e d e",154
"r e m _",154
"_ j à _",153
"_ m u e",153
"_ ü s s",153
"a f t _",153
"l e i d",153
"e i c h",152
"i n t e",152
"_ g a l",151
"o r u m",151
"s s e l",151
"s t i l",151
"t i l l",151
"_ ü s e",150
". . . _",150
"w o r u",150
"_ a r m",149
"b e s s",148
"k o p f",148
"m i n i",148
"_ c h a",147
"b s c h",147
"l ü e g",146
"_ p l a",145
"a t t e",145
"e b s _",145
"e r d e",145
"k l i g",145
"s t a n",145
"v i e r",145
"w i t t",145
"_ b ' s",144
"i m m _",144
"k e i n",144
"o w e _",144
"s u n d",144
"_ d e s",143
"d r u m",143
"e i d e",143
"_ v o m",142
"a h a _",142
"b i e n",142
"c k l i",142
"d d e r",142
"v o m _",142
"_ h o c",141
"s u n s",141
"t l i g",141
"_ e b s",140
"_ e n d",140
"e n n t",140
"h o c h",140
"r e i _",140
"w a r _",140
"_ z u e",139
"i d d e",139
"i e h _",139
"o h n e",139
"_ t i e",138
"_ t r a",138
"d r a _",138
"_ o w e",137
"a t t _",137
"e i t e",137
"e t e r",137
"t a n d",137
"u m m t",137
"w u r d",137
"_ m a m",136
"d a m _",136
"e u r _",136
"s i t e",136
"w i n d",136
"_ e i g",135
"_ l o _",135
"a f f e",135
"b b e _",135
"t a g _",135
"m e n t",134
"n g t _",134
"o s s e",134
"u r d _",134
"_ g e m",133
"_ u n g",133
"a i t _",133
"a t z _",133
"k l e i",133
"_ s ’ _",132
"ä n n t",132
"_ s t u",131
"a d a m",131
"c h a r",131
"d r i n",131
"f r i e",131
"i d e _",131
"m a d a",131
"_ d r e",130
"_ w o t",130
"g ' m a",130
"g ' s t",130
"i r e _",130
"l i g e",130
"r s t _",130
"w i d d",130
"_ n a t",128
"a n z e",128
"c l e _",128
"e r l e",128
"f r o g",128
"h t i g",128
"l l e r",128
"o n s _",128
"z ü e m",128
"' m a c",127
"l i t _",127
"m m e l",127
"n i e m",127
"s i n e",127
"t i e n",127
"_ h o l",126
"_ n a m",126
"a n t e",126
"r i n d",126
"z a h l",126
"_ g à _",125
"_ z e i",125
"a r e _",125
"e i n t",125
"e r s _",125
"l e h r",125
"ü c h _",125
"v e r d",125
"z i t t",125
