"data","Freq"
"i s e l l",101
"l t e r _",101
"m o i s e",101
"u c k t _",101
"v o i r _",101
"d e m o i",100
"l a t z _",100
"l e h r e",100
"n f a c h",100
"p e t e r",100
"p l a t z",100
"u e s c h",100
"_ e i n f",99
"_ m ü e s",99
"a k t e r",99
"ä m l i c",99
"b a b e _",99
"e i n t _",99
"e i t e _",99
"e m o i s",99
"g s u n d",99
"t a n d _",99
"_ g ’ s a",98
"_ l o n n",98
"' s a a t",98
"c h t s _",98
"e r u c k",98
"i s s t _",98
"i t z e _",98
"m o l s _",98
"r ä c h t",98
"r e i c h",98
"s e r i _",98
"t s c h e",98
"_ h i t t",97
"_ i w e r",97
"_ t a n t",97
"a b e n _",97
"a d d e r",97
"a l l e r",97
"a s s e r",97
"g ' s a a",97
"g e l l _",97
"h ä t t e",97
"m ä n n e",97
"s i n e _",97
"s s e s _",97
"t e l l e",97
"u e h n _",97
"_ d ä t _",96
"_ l e i d",96
"_ l u e j",96
"a a s c h",96
"a n g t _",96
"c h l o f",96
"d r i n n",96
"f a l l _",96
"g e d e n",96
"g o t t s",96
"h e i m _",96
"i s t e r",96
"k e n n t",96
"l a n d _",96
"m a d e m",96
"r d e n _",96
"s i e h _",96
"t a n d e",96
"_ g e t r",95
"_ m ‘ r _",95
"_ n a a n",95
"_ n e t t",95
"_ r n o _",95
"a d e m o",95
"e i j e _",95
"e r s t a",95
"e v o i r",95
"f a l l t",95
"g ä n n _",95
"i g k e i",95
"n a a n _",95
"o t h e _",95
"v a t e r",95
"_ p a t r",94
"_ v o m _",94
"_ w a j e",94
"_ z e r u",94
"a l l t _",94
"e m e n t",94
"g k e i t",94
"h a b e n",94
"k u m m s",94
"s c h a n",94
"s c h m i",94
"s c h u e",94
"v e r s p",94
"z e r u c",94
"_ a n d r",93
"_ n ü s _",93
"_ z ü e _",93
"b e r t _",93
"e r o t h",93
"l i c k _",93
"o r u m _",93
"r g e s s",93
"s c h n a",93
"s o h n _",93
"s t u n d",93
"t i s c h",93
"u e c h e",93
"u e d e r",93
"_ ' n e _",92
"_ b e t t",92
"_ k r i e",92
"_ s t r ü",92
"_ v e r k",92
"_ v o u s",92
"d e r i _",92
"f a c h _",92
"g l ü e c",92
"l l s c h",92
"l ü e c k",92
"l y t t _",92
"o s c h t",92
"r e v o i",92
"r i n k e",92
"r v u n _",92
"t i l l e",92
"u e c h _",92
"w a s s e",92
"_ b r i e",91
"_ o h o _",91
"a c h t e",91
"e d a n k",91
"e r g e s",91
"f i n d e",91
"g e s s e",91
"m i l l e",91
"m o o l _",91
"n s e r i",91
"r e d e l",91
"s a m m e",91
"s c h o n",91
"s i n g e",91
