mesure,BasRhinClés,BasRhinPreferredNgram,BasRhinAvoidedNgram
Craig,N,n i _; n o o; h n _; n n e; n e r; _ n ä; n e n; n e e; n a _; ’ n e; n e j; _ n y; n a a; _ ’ n; n u e; n n i; ' n e; n e h; n h e; n n '; _ n ü; _ ' n; _ n '; n o u; n ' _; n o h; _ n a; n e _; h n u; _ n -; n h a; - n _; n ä h; n é _; n e u; n a u; h n n; ç o n; h n i; _ ‘ n; ‘ n e; n a i; n n u; n ä _; n h o; n o ë; h ’ n; n n o; n ö ö; n ü ü; n y _; n ä j; ’ n _; n i o; ' e n; n i j; n ’ _; h n '; - n '; ’ n -; n o ’; n n ‘; _ n ’; n - i; h n ü; h n h; ’ e n; n i h; h n y; n e y; n ç a; - a n; _ n _; _ n ö; n n y; n u u; n ü _; n - e; n ä u; n ö j; _ n æ; - n o; ' i n; ' n -; ’ i n; ’ n u; n - u; n e a; n n ä; n h ä; n n h; n ä ä; ç a n; n - o; n a î; n æ h; n h y; n o e; n ü y; n é e; ' n o; ’ u n; n i i; n ü j; n n é; _ n ‘; _ n ¨; _ n n; - ä n; - n ä; - n u; - n ü; - u n; ' ' n; ' n ‘; ' o n; ' u n; ‘ n o; ’ ' n; ’ ä n; ’ n a; ’ n n; h n æ; n - ü; n ‚ _; n ä e; n a y; n e .; n o a; n ö i; n ö u; n u a; n ü h; n u y; n ö e; h n o; n ’ e; n h ö; n n è; n n ü,n i g; n o _; _ n à; n à h; n u _; n i e; - n -; _ - n; n - _; n ü e; _ n e; n ä i; n n -; ' n ü; n e i; h n a; ' n _; n n ö; n i a; n e ü; n ü a; ' n u; n i è; n n a; - n e; _ n u; h n à; n à i; n ç o; n a g; h n -; - n ’; n e -; n a h; _ n o; n h ü; n ç _; h ' n; ' n i; ' n à; n a ü; ' a n; - i n; h n ’; n - '; n o i; _ n i; - e n; ' n a; n u i; - n i; - n a; h n e; - o n; n . 2; n è _; n é a; n i u; n o -; n u j; n ü u; n n ’; n - a; h n ä; n a -; ’ n i; n h i; n i -; n n _; n a j; n h u
Craig,TKN,t k n,t g n
Craig,VTS,v e z; w e z; w o z; w a z; w y z; w ä z; v a z; v o z; w u z; w i z,_ v z; v z e; w à z; v i z
Craig,AMK,u m g; i m g; e m g,u m k; i m k; a m k
Craig,VS,w i ß; w e s; w ü ß; w ä s; v e s; w e z; w y s; w y ß; w a s; w o z; w ü s; w a z; v o s; v s _; w u ß; w y z; v a s; w ä z; w a ß; v u s; w s e; w u z; w i z,w i s; w à s; w u s; v i s; w o s; _ w s; w à z; w s _; v ö s
Craig,Y,j e _; j a _; _ j a; j e r; j e a; j o u; h j e; h j _; j e h; j e n; j a j; j ö _; j i _; _ j '; j ' a; j i e; j a h; _ j ’; h j o; j e u; _ j ä; j é _; h j a; j ’ a; j ä h; - j u; - j e; j i g; j ä j; j ' e; _ j i; j o j; h j i; j u h; _ j ü; j ’ e; j ' é; j ’ _; j ä _; j ä u; j ü e; j e i; j o i; _ j æ; _ j é; h j u; j ' _; j ' o; j ' y; j a ‚; j a e; j i o; j o -; j o ‚; j o e; j ü -; _ j _; j a -; j a u; j e ’; j u e,_ j à; j à _; _ j u; j u _; _ j ö; _ j o; j a g; _ j e; j a a; j o _; j e -; j o o; j o h; j e e; j à g; j h _; j a i; _ - j; _ ' j; _ j .; _ j h; - j _; - j a; ' j e; ' j ü; ’ j o; h - j; j - e; j . _; j ö ö; j u i; - j o; j o y
Craig,AMF,u m f; ü m f; a m f; ä m f,i m f; e m f
Craig,HK,h o c; h i k; h a g; h e k; h a c; h u c; h u k; h a k; h o k; h y g; h e g; h ä k; h ô c; h e c,h i g; h i c; h u g; h ä c; h ü c; h ü g; h ö c
Craig,NSK,n s c; n z k,n s g; n s k
Craig,ML,m l i; m e l; m a l; m ü l; m m l; m l u; m l o; m l a; h m l; m l ä; m l e; m ê l; m l ü,m o l; m i l; _ m l; m l l; m ä l; m u l; m é l
